tweet;kelas
mau tanya apa kab. bandung barat tdk ada twitternya ya ? pemkotbandung dbmpkotabdg pemumbdg . banyak yg complain soal kbb tuh;bukan keluhan atau respon
edi | 07:21 melaporkan masalah pdam ditempat kami tidak mengalir padahal air tetangga mengalir. id pel. 00604400810 cc pdamtirtawening;keluhan
cacandina cucut1978 pdamtirtawening ridwankamil sami teu acan ngocor hoyong ee oge malarian spbu;keluhan
ridwankamil kang abi bade ka setasiun bandung.. anu caket lewat mananya lamun ti arah garut.. maklum nembean.. tos lami di kalimantan..;bukan keluhan atau respon
"ridwankamil pak klo little bandung"" yg di seoul kapan diresmikannya atuh? rencana bln 10 tp teu aya infona. diantos. htr nuhun.""";bukan keluhan atau respon
ratsoehimura cucut1978 pdamtirtawening tanggulangi atuh pak pdam solusinya apa ini teh da sesah teu aya cai mah ripuh rujit. sedih;keluhan
ridwankamil kang gmn ya penanganan copet2 yg msh brkeliaran di angkot caheum-ciroyom? pcr sy smpai 3x ktmu copetny. trkhr dia diancam mrka;keluhan
rt soowoobdg: hati-hati jalan berlubang di jl sutami depan hotel zodiak. se_bdg dbmpkotabdg https://t.co/frsyflsvxv;bukan keluhan atau respon
daerah mana ini ? cc dbmpkotabdg rt vemylwahyugi kapan daerah sini tidak tercemar limbah pabrik https://t.co/mudv0jamtj;keluhan
prfmnews pdkebersihanbdg ridwankamil supados tepat guna saena tempatkeun sniper andalan kanggo ngajagi t5 sampah eta nembe msyrkt patuh;bukan keluhan atau respon
"cibereum cek selokan depan honda jabar prfmnews: daerah mana ini ? cc dbmpkotabdg rt vemylwahyugi kapan  https://t.co/9qig6jb6xp""""";bukan keluhan atau respon
tetapi hari ini masih boleh akan terjadi pada hari esok. bandung_dinkes;bukan keluhan atau respon
ridwankamil kang hasil pembangunan trotoar di depan riau junction tidak di bereskan kembali alhasil tempat pejalan kaki kotor;keluhan
pdamtirtawening tolong knapa air ledeng pdam di musim hujan gini gak ngalir berhari-hari di jalan pacul babakansari? #lapor ridwankamii;keluhan
pdamtirtawening ridwankamil ada pipa bocor rw03 kel.sadangserang mohon tindaklanjut https://t.co/xzausv3vom;keluhan
ridwankamil pak saya penasaran bola2 batu di trotoar itu ada fungsi khusus atau hiasan aja ya? takut ngagorolong :p;bukan keluhan atau respon
rt prfmnews: daerah mana ini ? cc dbmpkotabdg rt vemylwahyugi kapan daerah sini tidak tercemar limbah pabrik https://t.co/mudv0jamtj;keluhan
rt prfmnews: daerah mana ini ? cc dbmpkotabdg rt vemylwahyugi kapan daerah sini tidak tercemar limbah pabrik https://t.co/mudv0jamtj;keluhan
infobdg ridwankamil troatoarna janten sae mung seeur nu icalan tambih betah sapertos di jl. ibrahim adjie;bukan keluhan atau respon
ridwankamil mohammadmakruf  sdh berjalan 3th setiap perpanjangan stnk r4 selalu blokir kendaraan yg sama ada apa dg samsat bandung tngh?;keluhan
infobdg ridwankamil di jaga trotoar itu waspada sama lapak-gerobak-tenda pkl yang melintas di jl. riau itu. satpolppbdg;keluhan
"ridwankamil &lt; kediri butuh lampu jalan raya  semoga jajaran bupati pemenang bisa mewujudkanya . sedih jomblo takut dibegal dijalan eh";bukan keluhan atau respon
live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t.co/80e0fjheu7;bukan keluhan atau respon
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
.infobdg on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lain… https://t.co/61g3yejksx;bukan keluhan atau respon
vina_matsumoto pdkebersihanbdg ridwankamil berarti anda ngontrak belum lapor?/lapor dulu sekalian minta nope rw nya;bukan keluhan atau respon
ridwankamil odedmd yossiirianto dbmpkotabdg diskominfobdg .peresmian trotoarisasi jln. riau. https://t.co/ifmsiocfif;bukan keluhan atau respon
rt kelcitarum: ridwankamil odedmd yossiirianto dbmpkotabdg diskominfobdg .peresmian trotoarisasi jln. riau. https://t.co/ifmsiocfif;bukan keluhan atau respon
pdamtirtawening ada apa sebenar nya dgn jalur sukasari surya sumantri???air nya jarang ngocor punten d perhatoskeun bosen komplain wae;keluhan
semalam pulang dr cikutra lewat pahlawan pjunya dr simp suci hingga tmp kok padam ya dbmpkotabdg pemkotbandung prfmnews;keluhan
tim bingor bebersih saluran air jl.cigending rw 09 senin 281215 ridwankamil diskominfobdg dbmpkotabdg pemumbdg https://t.co/jorkt33lzo;respon
rt kelcitarum: ridwankamil odedmd yossiirianto dbmpkotabdg diskominfobdg .peresmian trotoarisasi jln. riau. https://t.co/ifmsiocfif;bukan keluhan atau respon
rt kcigending: tim bingor bebersih saluran air jl.cigending rw 09 senin 281215 ridwankamil diskominfobdg dbmpkotabdg pemumbdg https://…;respon
rt didadjuanda: semalam pulang dr cikutra lewat pahlawan pjunya dr simp suci hingga tmp kok padam ya dbmpkotabdg pemkotbandung prfmnews;keluhan
prfmnews sedang ada pa ridwankamil di fo jalan re martadinata lalu lintas padat merayap soalnya pada liatin pa walkot infobdg;bukan keluhan atau respon
ridwankamil bapak walikota apa kendala yg ada saat ini utk mengurangi jumlah kendaraan pribadi di kota bandung?;bukan keluhan atau respon
ridwankamil resmikan jalur pedestrian jalan martadinata;bukan keluhan atau respon
rt maznot: ridwankamil resmikan jalur pedestrian jalan martadinata;bukan keluhan atau respon
rt maznot: ridwankamil resmikan jalur pedestrian jalan martadinata;bukan keluhan atau respon
11.26 : pembongkaran lapak pkl oleh petugas satpolppbdg di kawasan kecamatan  bojongloa kaler | via satriadi https://t.co/5zobkylq3j;respon
diskamtam punten bbrpa bagian air mancur + lampu di tmn vanda sudah tdk nyalamhn diperbaiki pa..cc ridwankamil https://t.co/5wd8vwod4i;keluhan
rt kcigending: tim bingor bebersih saluran air jl.cigending rw 09 senin 281215 ridwankamil diskominfobdg dbmpkotabdg pemumbdg https://…;respon
rt maznot: ridwankamil resmikan jalur pedestrian jalan martadinata;bukan keluhan atau respon
haduh pak ridwankamil ini ada yang parkir sembarangan depan honda merdeka mengganggu hak para… https://t.co/z7woetuf1a;keluhan
pa sy bkn ktp d kec.bdg kidul. liat bp2 berseragam hijautua lg nntn yg pd foto ktp smbl ddk. lg apa y itu?=)) pengedulan? wkwk ridwankamil;bukan keluhan atau respon
kang ridwankamil meresmikan pedestrian jalan riau seperti ini wajah barunya. https://t.co/of34xisigv https://t.co/wmp6zhs0ic;bukan keluhan atau respon
"pak ridwankamil kenapa planter box di jl. sukarno hatta dibuat kecil2 &amp; jarang2 yah knp tdk dibuat yg memanjang? tanamannya jg byk yg mati";keluhan
lapor pa lampu lalu lintas di bkr pas perempatan jalan galunggung mati ridwankamil prfmnews https://t.co/pyllhenx0s;keluhan
prfmnews dbmpkotabdg dago macet ngga ada polisi... yg ada cuma polisi gopek.. banyak bgt tiap belokan premanisme!!!! ridwankamil;keluhan
kang ridwankamil kedahna aya cctv disetiap jalan meh pelanggar (motor naek trotoar) pd kapok eta nu d gatsu (tsm-seskoad tos raretak kang);keluhan
prfmnews namiabdirudi ridwankamil trm ksh infonya untuk lampu tl kewenangan di dishub_kotabdg;bukan keluhan atau respon
#lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdxys3;keluhan
rt infobdg: #lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdx…;keluhan
rt infobdg: #lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdx…;keluhan
rt infobdg: #lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdx…;keluhan
rt infobdg: #lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdx…;keluhan
"dbmpkotabdg prfmnews ridwankamil tmc_restabesbdg polisi"" gopek nya di dpn borromeus";bukan keluhan atau respon
"satpolppbdg dishub_kotabdg ridwankamil dishub_kotabdg  pkl sudah pernah dibersihkan &amp; dtg kembali ke jl burung tungku. sampai tutup jln.";keluhan
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
gimana tukang baso batagor baju dan lain2 pedagang ga balik mengokupansi trotoar riau kang ridwankamil ? juga nu sok parkir didinya.;keluhan
rt prfmnews: 11.26 : pembongkaran lapak pkl oleh petugas satpolppbdg di kawasan kecamatan  bojongloa kaler | via satriadi https://t.co/5z…;respon
pdamtirtawening ridwankamil : rumah keluarga saya di jalan.babakan sari 270 sudah 3 minggu air pdam tidak mengalirtetangga yg lain normal;keluhan
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
kompascom ridwankamil pa trotoar teh bnyk yg disimpenan pot tanaman pdhl trotoar sempit. akhrnya pejalan kaki hrs jln d aspal..;keluhan
rt infobdg: #lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdx…;keluhan
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
satpolppbdg infobdg ridwankamil dekat pertigaan a. yani - ibrahim adjie di depan eks matahari.;bukan keluhan atau respon
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
ge7 utk masy lokal yg bw mobilsdh tau jl tikus/bs naik angkot yg dpt pengecualian ridwankamil tmc_restabesbdg;bukan keluhan atau respon
awas dipake parkir mobil rt satpolppbdg: peresmian jalur pedestrian jl. l.l.r.e. martadinata oleh walikotabdg ridwankamil cc (1/2);keluhan
kompascom ridwankamil harus kangbarusan di jl jend sudirman pas disebrangnya mobil parkir naik trotoar;keluhan
terima kasih pak ridwankamil atas peresmian trotoar yang lebih nyaman di jl.riau.di tunggu  wilayah pedesterian yang lain.;bukan keluhan atau respon
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
hary_h: kompascom ridwankamil harus kang;bukan keluhan atau respon
pdamtirtawening terimakasih responnya hanya hingga hari ini total sudah 8 hari air masih belum keluar di daerah kami mohon solusinya;keluhan
rt adammaulud: didinyamah kieu 👍 bosss! kumaha pak? ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c…;keluhan
kang ridwankamil meresmikan pedestrian jalan riau seperti ini wajah barunya. https://t.co/tdhsfmwcgm;bukan keluhan atau respon
rt infobdg: #lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdx…;keluhan
rt indonesiaaktual: kang ridwankamil meresmikan pedestrian jalan riau seperti ini wajah barunya. https://t.co/tdhsfmwcgm;bukan keluhan atau respon
rt infobdg: #lalinbdg 12.05 : lampu merah telkom gasibu ga jalan imbasnya macet parah | vdcloser cc dishub_kotabdg https://t.co/kxyowdx…;keluhan
"pak ridwankamil mau kasih masukan ini kaki5 di sekitaran taman japati dr monumen mulai menghabiskan badan jalan &amp; bikin macet...";keluhan
jalanan depan rs.kebon jati garinjul bikin pengendara motor hilang keseimbangan ridwankamil dishub_kotabdg;keluhan
lapor kang ridwankamil ada pohon tumbang di jalan rumah sakit dpn ruko anggrek. tlg kirim petugas terkait aga menghalangi jalan soalnya.;keluhan
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
pengaspalan jalan cimuncang kel. padasuka dbmpkotabdg kec_cibkidul ridwankamil https://t.co/pwkywk9htp;respon
rt kelpadasuka: pengaspalan jalan cimuncang kel. padasuka dbmpkotabdg kec_cibkidul ridwankamil https://t.co/pwkywk9htp;respon
rt kelpadasuka: pengaspalan jalan cimuncang kel. padasuka dbmpkotabdg kec_cibkidul ridwankamil https://t.co/pwkywk9htp;respon
rt kelpadasuka: pengaspalan jalan cimuncang kel. padasuka dbmpkotabdg kec_cibkidul ridwankamil https://t.co/pwkywk9htp;respon
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
rt kelpadasuka: pengaspalan jalan cimuncang kel. padasuka dbmpkotabdg kec_cibkidul ridwankamil https://t.co/pwkywk9htp;respon
rizkiplawangan pdamtirtawening ridwankamil amiin bang walau sampai hari ini si masih belum ngocor 😅;keluhan
pak stotapan gedebage mun hujan banjir waentong daerah tengah wae pa nu di benerkeun teh tapi pinggiran kota oge kudu mereun ridwankamil;keluhan
gara2 banjir sampe2 ada mobil masuk solokan (jl sukapura antapani lama) ridwankamil dbmpkotabdg https://t.co/hg5ehf3vql;keluhan
ridwankamil hari ini meresmikan trotoar yang berada di sepanjang jalan riau #infojabar https://t.co/dqcmep0xf6;bukan keluhan atau respon
rt jabarprovgoid: ridwankamil hari ini meresmikan trotoar yang berada di sepanjang jalan riau #infojabar https://t.co/dqcmep0xf6;bukan keluhan atau respon
rt jabarprovgoid: ridwankamil hari ini meresmikan trotoar yang berada di sepanjang jalan riau #infojabar https://t.co/dqcmep0xf6;bukan keluhan atau respon
rt jabarprovgoid: ridwankamil hari ini meresmikan trotoar yang berada di sepanjang jalan riau #infojabar https://t.co/dqcmep0xf6;bukan keluhan atau respon
rt jabarprovgoid: ridwankamil hari ini meresmikan trotoar yang berada di sepanjang jalan riau #infojabar https://t.co/dqcmep0xf6;bukan keluhan atau respon
infobdg ridwankamil trotoar yg pake porcelain mah leucir klo abis hujan kang seperti dpn limijat #becarefultisoledad;keluhan
"relawan_bdg ridwankamil klo ada yg bangun gedung trotoarnya tutup pake amparan lebar ruksak ku truk &amp; cratcretcrot adukan";keluhan
liat geura pak byk anak kecil di trotoar gerbang pasteur huhujanan ridwankamil infobdg infobandung https://t.co/qnhfphr6xk;bukan keluhan atau respon
15.51 rt sherrinta liat geura pak byk anak kecil di trotoar gerbang pasteur huhujanan ridwankamil dinsos_bdg https://t.co/4yryn7jovq;bukan keluhan atau respon
rt prfmnews: 15.51 rt sherrinta liat geura pak byk anak kecil di trotoar gerbang pasteur huhujanan ridwankamil dinsos_bdg https://t.co/…;bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 15.45 urc ujungberung penanganan banjir jl sukaasih https://t.co/m5dnay…;respon
dbmpkotabdg ridwankamil jalan sukaasih raya atas kamp sekepeer;bukan keluhan atau respon
macet pisan jalan setia budi. jadi kelaparan di jalan. kang ridwankamil traktir kami dong.. https://t.co/qtge1xbmyy;keluhan
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 15.45 urc ujungberung penanganan banjir jl sukaasih https://t.co/m5dnay…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg infobdg 16.15 urc gedebage banjir cileuncang per4an gdbg surut https:/…;bukan keluhan atau respon
ridwankamil ass.pak wali punten jln gunung batu pas belokan dr cimindi volume kendaraan bnyk jln berlubang dan lbr jln sempit solusinya pak;keluhan
ditiap lampu merah kota bandung banyak bgt ngegangu pisanaplgi kl yg msh kecil tkt ketabrak https://t.co/ehivc0fpxj;keluhan
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 15.45 urc ujungberung penanganan banjir jl sukaasih https://t.co/m5dnay…;respon
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 15.45 urc ujungberung penanganan banjir jl sukaasih https://t.co/m5dnay…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 15.45 urc ujungberung penanganan banjir jl sukaasih https://t.co/m5dnay…;respon
rt okicempakaayu: banjir di daerah kompleks sukaasih akibat sungai yg menggililingi kompleks menjempit prfmnews ridwankamil https://t.co…;keluhan
"rt kusnantogsucces: ridwankamil  #hentikanrokok kasian ibu hamil d angkot caheum-ledeng supir &amp; penumpang dpn lomba merokoksmg tdk ada …";keluhan
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagarapemasangan batu andesit trotoar jl cihampelas https…;respon
kang ridwankamil mo nanya ari peraturan tmpt sampah d mobil/angkot teh udah g ada lg ato msh berlaku? ini pd ga ada soalnya nuhun;keluhan
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg infobdg 16.15 urc gedebage banjir cileuncang per4an gdbg surut https:/…;bukan keluhan atau respon
"bayuazi74 ridwankamil dbmpkotabdg jadikan trotoar kang ridwankamil beri rambut dilarang berjalan &amp; parkir di atas trotoar";keluhan
jabarprovgoid ridwankamil detikcom di bdg enak jalan trotoar tidak berisik berbeda di kota sukabumi seenak jidat pkl dvd bajakan saja;bukan keluhan atau respon
ridwankamil tolong jln yg di cat merah (cat minyak) dirubah aja soalnya aku br jatuh di jl riau depan surabi persibktnya disitu sering;keluhan
jabarprovgoid ridwankamil detikcom aheryawan bikin surat edaran  pemprovjabar dilarang jual-beli dvd bajakan di jawa barat! bekrafid;bukan keluhan atau respon
jabarprovgoid ridwankamil detikcom aheryawan bekrafid apakah tidak ada aturan tidak boleh berisik bikin kegaduhan di jalan trotoar?;bukan keluhan atau respon
rt prfmnews: 11.26 : pembongkaran lapak pkl oleh petugas satpolppbdg di kawasan kecamatan  bojongloa kaler | via satriadi https://t.co/5z…;respon
"rt gamalaulia: bayuazi74 ridwankamil dbmpkotabdg jadikan trotoar kang ridwankamil beri rambut dilarang berjalan &amp; parkir di atas trot…";keluhan
dbmpkotabdg mohon bantuan penanganan tiang pju jl. garuda no. 53 rawan tumbang menimpa pengendara kecamatan_andir https://t.co/hvc2pf02fr;keluhan
pa pntn mw tny kalo penyesuaian ttg umk 2015 sdh diberlakukan tpi klo smp skrg msih pk skema umk 2014 itu gmn ya bdgdisnaker  ridwankamil;bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc gedebage perbaikan jl gedebage selatan https://t.co/omxexonbbj;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc karees perbaikan kirmir saluran jl turangga https://t.co/eaxz…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagara perbaikan jl gegerkalong hilir (1) https://t.co/k0…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagara pengangkutan sendimen jl sukawarna baru https://t.…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagarapemasangan batu andesit trotoar jl cihampelas https…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagara lanjutan babad rumput jl sukawarna baru https://t.…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagaralanjutan pengerukan saluran jl sukawarna baru https…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 15.45 urc ujungberung penanganan banjir jl sukaasih https://t.co/m5dnay…;respon
yth dbmpkotabdg  mohon dg hormat dibenahi jalur air di sekitar komp. bandung indah raya -mekarjayarancasari...hatur nuhun ridwankamil;keluhan
rt pohinkjr: pak stotapan gedebage mun hujan banjir waentong daerah tengah wae pa nu di benerkeun teh tapi pinggiran kota oge kudu mereu…;keluhan
"dbmpkotabdg ridwankamil kel_mkrj rancasari_ok komp bir jadi muara"" pembuangan air dri komp grdsharon dll";keluhan
dbmpkotabdg ridwankamil kel_mkrj rancasari_ok selokan di jl.cpmkln kehalang bangunan yg nenpel persis di jalan ga ada trotoar sm sekali;keluhan
rt fadreee: ridwankamil pak kemaren sy jalan di trotoar jl riau... banyak bangku panjang yg posisinya terlalu ditengah malah menghambat …;keluhan
rt k_dunguscariang: dbmpkotabdg mohon bantuan penanganan tiang pju jl. garuda no. 53 rawan tumbang menimpa pengendara kecamatan_andir ht…;keluhan
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagaralanjutan pengerukan saluran jl sukawarna baru https…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagarapemasangan batu andesit trotoar jl cihampelas https…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagara lanjutan babad rumput jl sukawarna baru https://t.…;respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc bojonagara perbaikan jl gegerkalong hilir (1) https://t.co/k0…;respon
ridwankamil mdh2an thn 2016 bandung semakin nyaman utk pejalan kaki(bs jalan di trotoar)cc:dishub_kotabdg ;bukan keluhan atau respon
berikutnya pak ridwankamil harus bisa bangun trotoar yang tidak dihalangi oleh halte bus. halte yg ada saat ini tidak berfungsi #trotoarbdg;keluhan
rt infobdg: live on #periscope: harapan dari pak ridwankamil atas diresmikannya trotoar baru di jl riau dan di jalan lainnya d… https://t…;bukan keluhan atau respon
infobdg ridwankamil #periscope mdh2an ga hbs sm parkiran+nu dagang hehhehe;bukan keluhan atau respon
ridwankamil diskominfobdg andri_darusman pa wali mohon yg terbaik gaimana crnya rw.10 banjirselamanya bts dg tol https://t.co/oiaewr7f1q;keluhan
dbmpkotabdg kenapa mati lampu di rw06 kel. keb. pisang lama banget yah?;keluhan
ridwankamil pak punten di lap alun2 barau hangseur sareng seeur pisan sampah cc infobandung;keluhan
pak ridwankamil pemantauan abi daerah tegalega sareng leuwi panjang masih semrawut cc: maznot;keluhan
pa ridwankamil prmptn gedebage meni banjir wae kyk kmrn minggu alhamdulillah sy dan anak ga jatoh punten dibantu ya pa ridwankamil .nhn;keluhan
rt03plscibiru ridwankamil ada benteng jebol milik pusjatan di bina harapan kang sdg penanggulangan bersama;bukan keluhan atau respon
"gf2 19.30 trotoar(dewsartika) plaz parahy aya 1ibu&amp;3 anak kecil ngagaloler+pd sisi sama 1anak ngagoler dinsos_bdg satpolppbdg ridwankamil";keluhan
ujan - ujanan ke jalan asia afrika supaya bisa ketemu kembarannya ridwankamil tapi ga ada.… https://t.co/wuvna7y4p3;bukan keluhan atau respon
rt widiyanurna: ujan - ujanan ke jalan asia afrika supaya bisa ketemu kembarannya ridwankamil tapi ga ada.… https://t.co/wuvna7y4p3;bukan keluhan atau respon
ridwankamil upami tiasa di lap supratman aya musholajanten tiasa solat maghrib..soalna jadwal futsal saya jam set 6 sampe jam 7 nya pa nya;bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc cibeunying lanjutan pengerukan saluran jl sunda/veteran https…;respon
rt okicempakaayu: banjir di daerah kompleks sukaasih akibat sungai yg menggililingi kompleks menjempit prfmnews ridwankamil https://t.co…;keluhan
gh2 lima pmks pd poin gfsdh ditangani dg respon cepatsy beri nilai 10 utk satpolppbdg dinsos_bdg cc ridwankamil _ekayudhistira_;bukan keluhan atau respon
gh3 utk pdkebersihanbdg malam inisy beri nilai 9krn malam jam 9trlihat sdg kerjapd tiap tempat sampah cc ridwankamil _ekayudhistira_;bukan keluhan atau respon
"depan alfamart tsm coba pa dbmpkotabdg: yudistiraanderi ridwankamil odedmd yossiirianto diskominfobdg jl gatot subroto sering kami""";bukan keluhan atau respon
rt dbmpkotabdg: ridwankamil odedmd yossiirianto diskominfobdg 28/12 urc pju perbaikan lampu pju jl pangaritan https://t.co/qjc2y7hlud;respon
sepanjang jl pasteur bnyk bgt yg parkir/ngetem bahkan di bawah rambu.. taksi c;keluhan
tidak bisa foto yg parkir/ngetem sembarangan di jalan pasteur itu karena saya menyetir mobil. #lapor lapor1708 ridwankamil;keluhan
rt renienoer: astagfirullah...pasanggrahan ujung berung sudah mati lampu lagi..*apa salah dan dosa kami* nangis dijuru bari poek...curhat …;keluhan
"ridwankamil bagusnya gimana ya pak? angkot 08 masih juga ngetem di rambu dilarang stop""";keluhan
ridwankamil pdamtirtawening saya jg dikircon pak sama gak ngalir jg bahkan sudah 3 bulan udah laporan ke kantornya tp gada respon nuhun;keluhan
ridwankamil pa sawah ditengah perumahan yg mau dibuat komplek baru takut developnya ga tanggung jawab malah jadibanjirdll (margacinta);keluhan
gh7 ibu+2anak ngagoler tidurditengah lalu lalang byk orang _ekayudhistira_ dinsos_bdg ridwankamil satpolppbdg (22:00) mohon ditangani;keluhan
rt k_dunguscariang: dbmpkotabdg mohon bantuan penanganan tiang pju jl. garuda no. 53 rawan tumbang menimpa pengendara kecamatan_andir ht…;keluhan
perkuat budaya jalan kaki emil perbanyak trotoar - budayajalankaki via #rol  https://t.co/34t9uwyx39 ridwankamil;bukan keluhan atau respon
perkuat budaya jalan kaki emil perbanyak trotoar - budayajalankaki via #rol  https://t.co/iyf4xyxenh ridwankamil https://t.co/uwmqvogy7r;bukan keluhan atau respon
ridwankamil punteun sepanjang jalan sunda mati lampu stopan jln veteran sunda mati barusan ada yg kecelakaan di perempat sunda veteran;keluhan
dbmpkotabdg mau nanya kenapa jalan cimenyan yang baru diaspal ko jadi bergelombang ? memang tidak berlubang tapi sama aja ga mulus;keluhan
ridwankamil patroli polisi adain lg kang jgn pas dlu jam mlm ajabbrapa tmpt dbdg klo mlm msh rawan todong;keluhan
rt ridwankamil: ya udah jgn pada komplain kalo macet masuk lewat pasteur. nuhun https://t.co/szn50e3p70;bukan keluhan atau respon
pdamtirtawening min gimanaampe sekarang masi sulit air?harus gimana biar beneran ditindak lanjuti?;keluhan
mohon perhatian pa wali ridwankamil dbmpkotabdg nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5jdb0acbp;bukan keluhan atau respon
rt masnuihmanikay: mohon perhatian pa wali ridwankamil dbmpkotabdg nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5jdb0…;bukan keluhan atau respon
anak gaul bandung ituu anak yang tak pernah membuang sampah sembarangan dan merusak fasilitas kota bandung cc: ridwankamil infobdg;bukan keluhan atau respon
rt masnuihmanikay: mohon perhatian pa wali ridwankamil dbmpkotabdg nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5jdb0…;bukan keluhan atau respon
pdamtirtawening ada apa sudah 1mggu air ga ngalir di daerah jl garu babakan sari?;keluhan
rt masnuihmanikay: mohon perhatian pa wali ridwankamil dbmpkotabdg nofidiekaputera sdh sangat mengkhawatirkan skli. https://t.co/q5jdb0…;bukan keluhan atau respon
diskominfobdg di jalan sunda  lampu stopan / lampu merah tidak jalan /mati;keluhan
beberapa x lihat penumpang mobil2 mahal buang sampah di jalan. miriskaya tapi kelakuannya seperti tak berpendidikan https://t.co/nxjktrwkc4;keluhan
disdikjbr ridwankamil aheryawan banyak wanita cantik diperkosa alias dipelet di bdg. mohon tegakkan uu larangan dukun. 90% dukun kriminal;keluhan
